"Reference","Qty","Value","DNP","Footprint","Datasheet","MNF PART NUMBER","Description","LCSC"
"BOOT1","1","BOOT","","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","~","C318884","Push button switch, generic, two pins","C318884"
"C1","1","1uF","","Capacitor_SMD:C_0402_1005Metric","~"," C52923",""," C52923"
"C2","1","10uF","","Capacitor_SMD:C_0402_1005Metric","~","C15525","","C15525"
"C3","1","0.1uF","","Capacitor_SMD:C_0402_1005Metric","~","C1525","","C1525"
"C4","1","10uF","","Capacitor_SMD:C_0402_1005Metric","~","C1525","","C1525"
"C5","1","1uF","","Capacitor_SMD:C_0402_1005Metric","~","C15525","","C15525"
"C6","1","0.1uF","","Capacitor_SMD:C_0402_1005Metric","~","C15525","","C15525"
"C7","1","0.1uF","","Capacitor_SMD:C_0402_1005Metric","~","C15525","","C15525"
"C8","1","1uF","","Capacitor_SMD:C_0402_1005Metric","~"," C52923","","C52923"
"C9","1","1uF","","Capacitor_SMD:C_0402_1005Metric","~"," C52923","","C52923"
"C10","1","22nF","","Capacitor_SMD:C_0402_1005Metric","~","C15525","","C15525"
"C11","1","2.2uF","","Capacitor_SMD:C_0402_1005Metric","~"," C107369",""," C107369"
"C12","1","10uF","","Capacitor_SMD:C_0402_1005Metric","~","C15525","","C15525"
"C13","1","0.1uF","","Capacitor_SMD:C_0402_1005Metric","~"," C1525","","C1525"
"C14","1","10uF","","Capacitor_SMD:C_0402_1005Metric","~","C15525","","C15525"
"C15","1","1uF","","Capacitor_SMD:C_0402_1005Metric","~","C52923","","C52923"
"C16","1","10nF","","Capacitor_SMD:C_0402_1005Metric","~","C15195","","C15195"
"C17","1","0.1uF","","Capacitor_SMD:C_0402_1005Metric","~","C1525","","C1525"
"C18","1","0.1uF","","Capacitor_SMD:C_0402_1005Metric","~","C15525","","C15525"
"C19","1","22pF","","Capacitor_SMD:C_0402_1005Metric","~"," C70464",""," C70464"
"C20","1","22uF","","Capacitor_SMD:C_0402_1005Metric","~"," C105226",""," C105226"
"C31","1","0.1uF","","Capacitor_SMD:C_0402_1005Metric","~","C1525","","C1525"
"C32","1","0.1uF","","Capacitor_SMD:C_0402_1005Metric","~","C1525","","C1525"
"C33","1","0.1uF","","Capacitor_SMD:C_0402_1005Metric","~","C1525","","C1525"
"C35","1","1uF","","Capacitor_SMD:C_0402_1005Metric","~","C52923","","C52923"
"C36","1","1uF","","Capacitor_SMD:C_0402_1005Metric","~"," C52923",""," C52923"
"C41","1","0.1uF","","Capacitor_SMD:C_0402_1005Metric","~","C1525","","C1525"
"D1","1","LED","","LED_SMD:LED_0603_1608Metric","~","C2286","","C2286"
"D2","1","LED","","LED_SMD:LED_0603_1608Metric","~","C2286","","C2286"
"D3","1","LED","","LED_SMD:LED_0603_1608Metric","~","C2286","","C2286"
"D4","1","LED","","LED_SMD:LED_0603_1608Metric","~","C2286","","C2286"
"D5","1","ESD9B3.3ST5G","","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","ESD protection diode, 3.3Vrwm, SOD-923",""
"D6","1","ESD9B3.3ST5G","","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","ESD protection diode, 3.3Vrwm, SOD-923",""
"FB1","1","600R@100MHz","","FerriteBead:BEADC1608X95N","~","C19330","Ferrite bead",""
"FB2","1","600R@100MHz","","FerriteBead:BEADC1608X95N","~","C19330","Ferrite bead",""
"FB3","1","FerriteBead_Small","","FerriteBead:ul_BLM21PG121SN1D","~","","Ferrite bead, small symbol",""
"FB4","1","600R@100MHz","","FerriteBead:BEADC1608X95N","~","C19330","Ferrite bead",""
"FB5","1","600R@100MHz","","FerriteBead:BEADC1608X95N","~","C19330","Ferrite bead",""
"FB6","1","600R@100MHz","","FerriteBead:BEADC1608X95N","~","C19330","Ferrite bead",""
"FB7","1","600R@100MHz","","FerriteBead:BEADC1608X95N","~","C19330","Ferrite bead",""
"FB8","1","600R@100MHz","","FerriteBead:BEADC1608X95N","~","C19330","Ferrite bead",""
"FB9","1","FerriteBead_Small","","FerriteBead:ul_BLM21PG121SN1D","~","","Ferrite bead, small symbol",""
"IC1","1","RT9193-15GB","","SOT94P280X100-5N","https://www.richtek.com/assets/product_file/RT9193/DS9193-16.pdf","","RICHTEK - RT9193-15GB - IC, LDO, FIXED, 1.5V, 0.3A, SOT-23-5",""
"J1","1","Conn_01x02_Pin","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","Generic connector, single row, 01x02, script generated",""
